url,content_type_ext,content_ffb,wayback_date,crawl_date
http://www.bigblack.org.uk:80/spectrum/A/ADVENT.Z80,.z80,00460000,20030428215506,2003-04-28T22:55:06Z
http://www.bigblack.org.uk:80/spectrum/A/ACTION_R.Z80,.z80,3f043a17,20030428215653,2003-04-28T22:56:53Z
http://www.bigblack.org.uk:80/spectrum/A/AFARCE2.Z80,.z80,106a5595,20030428215853,2003-04-28T22:58:53Z
http://www.bigblack.org.uk:80/spectrum/A/ADDAMS.Z80,.z80,8580fd80,20030428215945,2003-04-28T22:59:45Z
http://www.bigblack.org.uk:80/spectrum/A/ADALADDA.Z80,.z80,00500000,20030428220033,2003-04-28T23:00:33Z
http://www.bigblack.org.uk:80/spectrum/A/ADDER_.Z80,.z80,3d3a0000,20030428220510,2003-04-28T23:05:10Z
http://www.bigblack.org.uk:80/spectrum/A/AFOOTB.TAP,.tap,13000000,20030428220850,2003-04-28T23:08:50Z
http://www.bigblack.org.uk:80/spectrum/A/AGENTX23.Z80,.z80,beaa0000,20030501170020,2003-05-01T18:00:20Z
http://www.bigblack.org.uk:80/spectrum/A/AGENTX22.TAP,.tap,13000000,20030501170524,2003-05-01T18:05:24Z
http://www.bigblack.org.uk:80/spectrum/A/AFS.Z80,.z80,25102511,20030501170848,2003-05-01T18:08:48Z
http://www.bigblack.org.uk:80/spectrum/A/AH_DIDDU.SNA,.sna,3f783e9b,20030501170903,2003-05-01T18:09:03Z
http://www.bigblack.org.uk:80/spectrum/A/AFRICA_G.TAP,.tap,13000000,20030501171201,2003-05-01T18:12:01Z
http://www.bigblack.org.uk:80/spectrum/A/AKYRTZ.Z80,.z80,00500000,20030501171354,2003-05-01T18:13:54Z
http://www.bigblack.org.uk:80/spectrum/A/AFTER_B.TAP,.tap,13000000,20030501171414,2003-05-01T18:14:14Z
http://www.bigblack.org.uk:80/spectrum/A/AFTERMAT.Z80,.z80,00570000,20030501171423,2003-05-01T18:14:23Z
http://www.bigblack.org.uk:80/spectrum/A/AIRWOLF2.Z80,.z80,f7824200,20030501171643,2003-05-01T18:16:43Z
http://www.bigblack.org.uk:80/spectrum/A/AGENTX2.TAP,.tap,13000000,20030501173015,2003-05-01T18:30:15Z
http://www.bigblack.org.uk:80/spectrum/A/ALIENS_.TAP,.tap,13000000,20030504021352,2003-05-04T03:13:52Z
http://www.bigblack.org.uk:80/spectrum/A/ALIEN8.SNA,.sna,3f915919,20030504021919,2003-05-04T03:19:19Z
http://www.bigblack.org.uk:80/spectrum/A/ALIEN8.TAP,.tap,13000000,20030504021919,2003-05-04T03:19:19Z
http://www.bigblack.org.uk:80/spectrum/A/ALCATRA2.TAP,.tap,13000000,20030504022717,2003-05-04T03:27:17Z
http://www.bigblack.org.uk:80/spectrum/A/ALWAYS.SNA,.sna,3f58279b,20030506052948,2003-05-06T06:29:48Z
http://www.bigblack.org.uk:80/spectrum/A/ANDESKYD.Z80,.z80,003a8b00,20030506053000,2003-05-06T06:30:00Z
http://www.bigblack.org.uk:80/spectrum/A/AMAUROTE.SNA,.sna,be00e700,20030506053116,2003-05-06T06:31:16Z
http://www.bigblack.org.uk:80/spectrum/A/AMER_AGT.Z80,.z80,01404a00,20030506053116,2003-05-06T06:31:16Z
http://www.bigblack.org.uk:80/spectrum/A/AND1INTR.SNA,.sna,3f00009b,20030506053142,2003-05-06T06:31:42Z
http://www.bigblack.org.uk:80/spectrum/A/AMOTOS.TAP,.tap,13000000,20030506053615,2003-05-06T06:36:15Z
http://www.bigblack.org.uk:80/spectrum/A/ALIEN__.Z80,.z80,ff820000,20030506053734,2003-05-06T06:37:34Z
http://www.bigblack.org.uk:80/spectrum/A/ALLORNOT.Z80,.z80,ff8201a7,20030506060712,2003-05-06T07:07:12Z
http://www.bigblack.org.uk:80/spectrum/A/ANCIENTB.TAP,.tap,13000000,20030506060831,2003-05-06T07:08:31Z
http://www.bigblack.org.uk:80/spectrum/A/ANARCHY.Z80,.z80,106afa61,20030506060922,2003-05-06T07:09:22Z
http://www.bandstash.co.uk:80/jetsetgaming/JSWdemons.sna,.sna,3f008439,20030506070011,2003-05-06T08:00:11Z
http://www.bigblack.org.uk:80/spectrum/A/ANTATTAC.SNA,.sna,9858279b,20030507212144,2003-05-07T22:21:44Z
http://www.bigblack.org.uk:80/spectrum/A/ANTENY.Z80,.z80,00500000,20030507212306,2003-05-07T22:23:06Z
http://www.bigblack.org.uk:80/spectrum/A/ANTATTA.Z80,.z80,04280000,20030507212323,2003-05-07T22:23:23Z
http://www.bigblack.org.uk:80/spectrum/A/ANDROID2.SNA,.sna,3fc8321b,20030507212443,2003-05-07T22:24:43Z
http://www.bigblack.org.uk:80/spectrum/A/ANDYCAPP.Z80,.z80,01020002,20030507212518,2003-05-07T22:25:18Z
http://www.bigblack.org.uk:80/spectrum/A/ANGLEBAL.Z80,.z80,01404700,20030507212613,2003-05-07T22:26:13Z
http://www.bigblack.org.uk:80/spectrum/A/ANTTILIS.Z80,.z80,1f5c4ba8,20030507212819,2003-05-07T22:28:19Z
http://www.bigblack.org.uk:80/spectrum/A/ANGEL_CC.TAP,.tap,13000000,20030507213145,2003-05-07T22:31:45Z
http://www.bigblack.org.uk:80/spectrum/A/ANOGAIA.Z80,.z80,10460100,20030507213316,2003-05-07T22:33:16Z
http://www.bigblack.org.uk:80/spectrum/A/APOLLO11.Z80,.z80,0054fefe,20030507213429,2003-05-07T22:34:29Z
http://www.bigblack.org.uk:80/spectrum/A/ANDROMED.TAP,.tap,13000000,20030507213846,2003-05-07T22:38:46Z
http://www.bigblack.org.uk:80/spectrum/A/ANTIRIAD.SNA,.sna,fe58279b,20030507213915,2003-05-07T22:39:15Z
http://www.bigblack.org.uk:80/spectrum/A/afrtrail.sna,.sna,3f58279b,20030514170431,2003-05-14T18:04:31Z
http://www.bigblack.org.uk:80/spectrum/A/ace_2088.sna,.sna,fe58279b,20030514170945,2003-05-14T18:09:45Z
http://www.bigblack.org.uk:80/spectrum/A/a_mole2.sna,.sna,fe58279b,20030514171028,2003-05-14T18:10:28Z
http://www.bigblack.org.uk:80/spectrum/A/A_TEAM2.SNA,.sna,3f58279b,20030514171248,2003-05-14T18:12:48Z
http://www.bigblack.org.uk:80/spectrum/A/ArticSnooker.z80,.z80,18843f00,20030514171354,2003-05-14T18:13:54Z
http://www.bigblack.org.uk:80/spectrum/A/advent_b.sna,.sna,89582700,20030514171459,2003-05-14T18:14:59Z
http://www.bigblack.org.uk:80/spectrum/A/a_mole1.sna,.sna,fe58279b,20030514172127,2003-05-14T18:21:27Z
http://www.bigblack.org.uk:80/spectrum/A/advent_c.sna,.sna,3f582700,20030514172140,2003-05-14T18:21:40Z
http://www.bigblack.org.uk:80/spectrum/A/Avaunt.z80,.z80,00e00000,20030514172222,2003-05-14T18:22:22Z
http://www.bigblack.org.uk:80/spectrum/A/advent_a.sna,.sna,3f582700,20030514172400,2003-05-14T18:24:00Z
http://www.bigblack.org.uk:80/spectrum/A/actionforce2.sna,.sna,fea8ed2b,20030514172721,2003-05-14T18:27:21Z
http://www.bigblack.org.uk:80/spectrum/A/amahd.z80,.z80,002a6d04,20030515181009,2003-05-15T19:10:09Z
http://www.bigblack.org.uk:80/spectrum/A/alpharai.z80,.z80,00500000,20030515181517,2003-05-15T19:15:17Z
http://www.bigblack.org.uk:80/spectrum/A/anything.sna,.sna,3fa1599b,20030515181553,2003-05-15T19:15:53Z
http://www.bigblack.org.uk:80/spectrum/A/amaur128.z80,.z80,2002000e,20030515181605,2003-05-15T19:16:05Z
http://www.bigblack.org.uk:80/spectrum/A/alien.z80,.z80,082a1802,20030515181803,2003-05-15T19:18:03Z
http://www.bigblack.org.uk:80/spectrum/A/aquaplan.sna,.sna,8d58279b,20030515181804,2003-05-15T19:18:04Z
